primary_key,hotel_id,hotel_name,tripadvisor_id,review_text,rating,published_date
11,3,Shangri-La Jakarta,302122.0,"Yosephine (Jose) has been helping us from the very beginning for our sangjit ceremony. She is always on top of everything, making sure the preparation, menu suggestion, and technical meeting goes smoothly. In addition, even when she was on day off, she made sure that Inez was up to date with what was going on to make sure everything is perfect. All in all, we are extremely happy with Yosephine’s service and would recommend her to everyone for all banquet / events need.

Pak Sandy Banquet Supervisor and his staff: Awa, Arman, Sharon
Sandy’s attention to detail is excellent. He swiftly organized everything according to plan and the teamwork among all staff was wonderful in making sure nothing left behind. The staff are also paramount in providing quality service, such as refilling beverages, and used plates and glasses were quickly picked up. Also, the team helped in arranging a beautiful and elegant center piece decoration for the event. We are happy with the service provided.

Shout out to Chef Fauzie. Food is wonderful, our guests mentioned that the taste is excellent. We mentioned at food tasting day that we preferred less salty food, and the chef has delivered very well. Food presentation was also wonderful according to our VIP guests. 

Dita GRO staff is very easy to work with. She would ask our preference for the special amenity arrangement for our hotel room. As we first entered the room, we were very excited to see how beautiful the flower bouquet and the cake too. Thank you very much for your hard work.

We were planning to have the wedding at the Shangri-la hotel a week after our sangjit day. However, the date that we picked was not available. So, we are hoping to have another wedding event at the hotel later in the future for my brother. Yosephine’s service as a wedding salesperson is beyond expectation and even the organizer and MC complimented how attentive she was. We are delighted to be served by Yosephine and thank you for making my sangjit event so memorable.",5,2024-11-13T11:26:06Z
12,3,Shangri-La Jakarta,302122.0,"This is a very nice journey. Because of u then our meeting can go smoothly. Also want to say thank you of Shangri-la hotel staff
Chef Ashok 
chef rizki
chef dewa

banquet staff 
budi
ulfy
yudi

events manager 
heru

Chinese sales 
willa

restaurant manager 
neneng

dir of FB
Thomas 

resident manager 
Claudia
Especially Emily, Willa and Claudia. Because they can speak Chinese very well.",5,2024-11-13T07:29:04Z
13,3,Shangri-La Jakarta,302122.0,Stayed in Shangrila Hotel Jakarta and had a pleasant and amazing stay. Alfredo has great customer service. Very polite and happy person. He has positive attitude and interaction towards customers. Any company will be lucky to have him. Keep up the good work!,5,2024-11-13T07:02:40Z
14,3,Shangri-La Jakarta,302122.0,"The experience is the best that I have experienced. I would like to say thank you to Chef Ashok,rizki dewa. budi, ulfy yudi
Mr Heru Ms Willa, Neneng,Thomas Also Ms Claudia. Especially Ms Willa and Ms Claudia. Tks for all again. Because of all of you, then my meeting can go smoothly. I surely will recommend Shangrila to my friends.",5,2024-11-13T04:58:13Z
15,3,Shangri-La Jakarta,302122.0,"Shangri La Jakarta is on top !
Kind staff, very welcomed, the room was really top.
Restaurant and bar with huge choices for all people (veggie, meat, asian food, european food..) all good.

Special thanks to Catherine and Randy!
Top service and always with the smile as other staff!

Terima kasih banyak ;)
Cedric from Paris, France",5,2024-11-13T03:28:46Z
16,4,Mina A'Salam Madinat Jumeirah,302465.0,"We stayed in July 2024, on a layover from Australia to the UK. We were so impressed by the colleagues and the service we received. From the moment of stepping out of the taxi, to the very early check-in, each of the restaurants, the colleagues manning the club car station, the beach & pool attendants, absolutely everyone was friendly, smiley, courteous, interested and engaged.

The colleagues paid such kind attention to my daughter, making her feel so special, that she told me she wanted to move to Dubai and live in the hotel. I may need to work harder to make that a reality. 

Specific shout outs to the colleague that checked us in (so well-presented, very professional), the laundry team for working so hard and so quickly to remove the vomit (due to motion sickness) from our various clothes, bags and soft toys; the Malaysian manager at Zheng He’s restaurant for her warmth, care, humour, knowledge and guidance; the housekeeping colleagues for their energetic greetings and attentive cleaning of our room, and finally Tatyana the brilliant Kazakh guest relations employee who went above and beyond in her care and recognition of my daughter. 

In addition to the fantastic service, the room was beautifully decorated, brilliantly presented, and provided a cool and calm oasis for us. We slept so well, and sunrise coffee overlooking the beach and Burj Al Arab was a great way to start each day. The new pool down on the beach is brilliant, and the pool service was top class. 

We loved our stay, would highly recommend the hotel, and are excited about our return in the future. Thank you to everyone at Mina Al Salam for a special, memorable stay.",5,2024-10-31T19:04:36Z
17,4,Mina A'Salam Madinat Jumeirah,302465.0,"Our stay at this hotel will leave us a lot of beautiful memories, with a couple of bad experiences, that were mainly not provoked by the hotel facilities or by the personnel of the hotel. Instead, almost everyone tried to ease the negative circumstances and make our stay mostly enjoyable. The location is amazing and you can take for free all day long the abras and buggies to visit the other resorts part of the Jumeirah group and this was very favourable in our health situation. The room had everything for all imaginable needs. Minoli was extremely careful and brought us everything that we asked for and she has often foreseen our needs. The sea water was extremely warm (at least 30 degrees Celsius all week) and the sun lounges sufficient at any given moment of the day. We were at 8 a.m. on the beach as the sea was calm. The food at the Hanaaya restaurant (both breakfast and dinner) was amazing – all tastes were satisfied, especially during the seafood/barbecue theme night. All the waiters were very friendly (especially Alex and Gerts) and they served instantly my wife according to her food allergy and intolerancies (especially Ella and Milumi). At the beach all of the employees were extremely friendly (especially Ashraf, Didar and Yam Jung) and they brought us a lot of towels and water in a special leather box with ice. Affan at the reception was especially professional in all his service. Amanda (the paramedic of the resort) helped my wife with her strained ankle and eased the pain. 
At the entrance to the beach there was SPF sun cream 30 and 50, children inclusive,mist-spray for face, glasses-cleaning service, free ice-cream and fruit lollipops. In the room there were constantly at least 2 liters of water. We got as soon as we arrived a clothing drier in the balcony.
At dinner there is tonic water and iced tea for free, for every other drink you had to pay. In comparison, at Kitchen Connection (the buffett restaurant of Jumeirah Beach hotel) and at Zheng He restaurant we had to pay even for water or tea.
For us , Hanaaya was the best location for breakfast and dinner and we enjoyed every bite.
All in all, we warmly recommend this hotel and we wish to return in a very near future.",5,2024-10-28T04:43:27Z
18,4,Mina A'Salam Madinat Jumeirah,302465.0,"Our fourth year in a row and the hotel just keeps getting better. From amazing restaurants, setting, facilities to best of all, incredible staff. This place defines ‘hospitality’. Too many staff to mention by name except one who couldn’t have done more to make our stay as enjoyable as possible. Thank you to Rayhan who looked after us on the beach everyday. Always smiling, nothing is too much trouble, people like him make the difference at luxury hotels. Thank you.",5,2024-10-26T01:53:05Z
19,4,Mina A'Salam Madinat Jumeirah,302465.0,Excellent stay at this hotel. The service is almost perfect. The team at the Alam lounge and club pool were top notch. Very attentive and polite. Cleaning and housekeeping was also very good . The only exception is the Bahri bar where you aren’t made to feel welcome. If you want a good place to stay with in resort restaurants but being able to explore Dubai you need look no further.,5,2024-10-25T02:00:23Z
20,4,Mina A'Salam Madinat Jumeirah,302465.0,"A huge hello from Usa '

The staff at this hotel were incredibly welcoming once we reached the hotel, helpful throughout our stay. great location and near for walking and shopping (Souk Madinat). the beach was wonderful, spacious room with an unforgettable design, the housekeeping team is so friendly and ready to help.

one of the best things ever that the Gym is near we have been lucky to be close to, wowwww such an amazing facility everything is clean and well maintained, we enjoyed well our swimming, 
the   receptionist Ms. Zeynep was beautifully hosting, generous   and every time we came to Gym she had a nice smile, offering the jus and handling our request with care she even pointed some area in Dubai that we never heard about where we enjoyed our vacation more, we will be coming back next year in October wish to be seeing you again next year.

Jessy",5,2024-10-21T11:17:33Z
21,5,L'Ermitage Beverly Hills,76065.0,"This is one of the most beautiful hotels in Beverly Hills. The rooms are gorgeous, hotel overall is immaculate and the support staff there are the best. I would highly recommend to anybody looking for a premier 5 star hotel! It's close to Rodeo Drive and a bunch of great restaurants.",5,2024-11-11T12:26:52Z
22,5,L'Ermitage Beverly Hills,76065.0,"As far as I can remember, I have always been a big fan of l’Ermitage, a private and confidential place to be in Beverly Hills that offers nothing but a world class service with an outstanding staff. The remodeling has even more enhanced what was already exceptional but I will let you be the judge of that!",5,2024-11-01T10:18:30Z
23,5,L'Ermitage Beverly Hills,76065.0,"Arrived with no toiletries in the room, tv in the mirror did not work, did not receive monogrammed pillowcases like I’ve seen online from other people, all they could offer was a sorry and late check out. Some areas in the bathroom were broken, had mold or mildew. Bed was comfy but was rudely awakened at 10am on the day of check out when we already told the front desk we were checking out by 12pm. Seemed to be miscommunication between workers and they did not leave a good memorable impression. I’d rather stay at another high end hotel.",3,2024-10-27T21:09:35Z
24,5,L'Ermitage Beverly Hills,76065.0,"Excellent stay. Hotel is one of the best in Los Angeles. The location is premium. Rooms are very well designed and are vey large. I really liked the bathroom area with both tube and shower.

Special mention to cleaning and services at the hotel. 

Overall a very nice stay. We really enjoyed our stay.  

Concierge service and hotel staff are available to make a memorable stay.",5,2024-10-20T07:45:18Z
25,5,L'Ermitage Beverly Hills,76065.0,"Amazing accommodations, very high end, incredible staff! Property was under construction so pool wasn’t available but didn’t matter. Located perfectly for Rodeo and Hollywood areas but off the path in a beautiful residential area. Would highly recommend!!",5,2024-10-17T23:20:36Z
26,6,W San Francisco,81669.0,"This was my second time staying at this hotel and I enjoyed it as much as the first.  Hotel was clean and modern, everything worked fine in my room. All staff I encountered were friendly, helpful and professional.  I remember Dave, the valet, DJ, or PJ (big dark skinned guy) checked me in at the front desk and I'd like to single out Connell and his team in the security office.  I had a special need after my stay and they handled it competently and professionally. Thank you again.  Next time I need to stay in the area, I'll be back.",5,2024-11-01T20:35:45Z
27,6,W San Francisco,81669.0,Room was fine but the hidden fees are astounding. Staff was not upfront about how the destination fee worked and the fine print seemed intentionally obtuse and hidden. The room itself was fine and met expectations. Value for money was poor.,2,2024-10-20T21:05:15Z
28,6,W San Francisco,81669.0,"I wanted to love this hotel. But I’ve now stayed there twice and it is way too loud. The walls are paper thin so anything happening in the hallway or room next to you, you hear. This means you hear the loud machine in the hallway (maybe AC), your neighbors cell phone, everything. If you have bad luck you’re next to the elevator.
Also, the Bonvoy breakfast is not good.
If you’re a heavy sleeper go for it but I won’t be back.
Location is good. Beds are comfy.",2,2024-08-16T22:14:07Z
29,6,W San Francisco,81669.0,"We stayed here for a long weekend. The manager is very sweet and nice she took her time to provide recommendations for dining in the area. The people working at the front desk were so lovely to talk to. They gave us tickets to the MOMA, tickets for the tram, and two water bottles that we used to refill throughout our stay. The room is average but no complaints on cleanliness and it had everything we needed. When in a city like this one not much time is spent in the hotel room. The lobby has very much a club vibe with a DJ and bar lounge area. We stayed in a high floor so we were not impacted by any noise. The location was great.",4,2024-07-30T09:30:51Z
30,6,W San Francisco,81669.0,"Hotels need to be first and foremost supportive of their guests.   With Marriott I expect excellent support for business guests.  Unlike other expensive Marriott hotels, breakfast is not free at W.   Worse yet, you end up waiting in line to get a table, waiting for the food, and waiting for the bill (which is obserdly expensive $20 for oatmeal???).   The ultimiate insult is the business center (which I had to use when my PC broke down).   They have the nerve to charge $30/hour for the PC and paper is $0.50/page (if I remember correctly).   This feels like a setup to take advantage of their guest - it's certainly not a level of support that I have come to expect from Marriott.

I don't know who they plan on hosting at W, but I recommend that business travelers skip this one.",3,2024-07-10T10:33:27Z
31,7,Hotel D'angleterre,232092.0,A very friendly hotel with all the staff ready to help in whatever way they can. Reception helped in sorting out great places to eat. Overall a great experience. Looking forward to coming back. Room service staff extremely quick in getting the order to the room.,5,2024-10-24T03:22:56Z
32,7,Hotel D'angleterre,232092.0,"If it is not the best one in Copenhagen, I can hardly imagine another hotel which could  be better. Ideally located in the heart of the old city, this very elegant palace offers an incomparable level of service and an extremely refined environment / atmosphere. Our stay couldn’t have been better !",5,2024-10-18T08:23:06Z
33,7,Hotel D'angleterre,232092.0,"Very nasty and squared people, do not miss your money on it.

Expensive is not worth the people at reception desk

I asked for my room at 14:35 and they fool make me wait until 15:00 that is stupid the already have my luggage at the room.....what is the need to keep people waiting.",1,2024-08-31T08:57:52Z
34,7,Hotel D'angleterre,232092.0,"This is an excellent hotel, one of the best in all of Europe.  We were there for nearly two weeks, and also have stayed there many times in the past.  The rooms are wonderfully planned, clean, have great views and are excellent for sleeping. The hotel is amazingly centrally located in Copenhagen; most places to visit and good restaurants are only a walk away. The concierge people are outstanding and the front desk people are also wonderful and very helpful. In fact, everybody who works there is very pleasant and helpful. We will write a separate review of the excellent restaurant, Marchal, which is in the hotel.",5,2024-08-28T19:10:56Z
35,7,Hotel D'angleterre,232092.0,"This is a mixed bag… read on for my honest thoughts. The hotel is absolutely beautiful. Service is excellent, restaurant the best we dined at in the city. There were lovely treats unexpectedly left for us daily! Beds were very comfortable. Location is excellent. All of that said, our enjoyment of the hotel was hampered by a) broken a/c in one room, not fixed for 24 hours (for which we received a 50% refund for that room but caused sleep disruption) and b) the smallest amount of storage I’ve ever seen in a hotel. We had a junior suite and adjoining room.the suite had room to hang maybe 6 items, and there was ONE small drawer. As we were staying for 5 nights and this was the beginning of a longer trip, we had much more clothing than the room could accommodate. We were living out of our suitcases which made the room feel very cramped. The result was that we felt the cost very high relative to our experience, and a sense of relief to be able to unpack at the next destination. I would only recommend this hotel for a 1-2 night stay, or perhaps verifying in advance that your particular room has ample storage. Our group of 4 had 1 checked bag per person to give you a sense of our packing- not meager but not ridiculous.",4,2024-08-24T09:10:56Z
36,8,Shangri-La Sydney,256528.0,"Hubby & I have just celebrated our 40th wedding anniversary at Shangri la Sydney.
I chose this particular hotel over other similar 5 star hotels in the Sydney CBD for several different reasons.  One of those primary reasons was that decades ago, we stayed with Shangri la following our engagement.  Gosh, such a long time ago.
Another major consideration was that we’d planned dinner at the Altitude Restaurant which sits on level 36 of the hotel.

So, in terms of the accommodation.
The good points.  I had booked a Deluxe King Harbour Bridge room which had great views over the Bridge & Opera House. The package I selected included breakfast for two in Cafe Mix & parking pre booked parking at the hotel at $85.
The total package for the accommodation package was $655 which did not include credit charge surcharge fee of $12 (equates to 2%).

Upon arrival at reception, we were given a room upgrade to an Executive Harbour King Room on level 31. This was appreciated but it’s very similar to existing booking.  A lovely touch was that they sent a bottle of champagne & chocolates to the room as well as a small fruit platter.  Very much appreciated. The room was spotlessly clean. Impressive bathroom, & comfy king bed.  

The disappointing points:
When we returned to the room after a walk & lunch, we went to make a cup of coffee & discovered they had forgotten to include coffee cups with all the usual other amenities. Zero cups. Rang housekeeping who said they’d bring up 2 cups but after half an hour, nothing materialised.
It was more than an hour which included several other calls to reception & housekeeping before finally 2 cups were brought to the room.  It was a long wait just to have a cup of coffee.

Breakfast in Cafe Mix on Level 1 was extremely crowded, noisy, and somewhat chaotic. People everywhere, noisy & tables very close together. The buffet was ok & fairly comprehensive but I think just the volume of people, & just the sense of organised chaos made it less pleasant.  Eggs & omelettes have to be ordered from the table, which is fine in one respect, but it just means that half your breakfast is obtained at the buffet, & the other half having to be ordered at the table & then waiting for it to be delivered.
Hint: if required, order first, otherwise the rest of your breakfast will be cold by the time your order arrives.

I’ve learned something.  If I was to stay again, I would definitely choose a room that had the Horizon Club Access.  We could see the Club Lounge on Level 30 below us & it looked terrific , quiet, private & offering all day access to refreshments & canapés. On our return to the room, we could see the people in the club lounge having a beautiful, quiet & peaceful breakfast.  

Overall, a very nice stay, just things I would do different next time.",4,2024-11-11T21:44:17Z
37,8,Shangri-La Sydney,256528.0,"Five night stay on a club floor. We loved the view toward Darling Harbor. Our room was immaculate and daily refresh was non-obtrusive, often while we were at Breakfast in the Club Lounge. The food was nice and service was excellent. The staff was very engaging and clearly recognized us starting on the second day!The lounge could be very busy between about 8 and 9.  They make eggs and coffee to order and most of the rest was buffet. I liked the Congee and the fruit. My spouse is more interested in eggs, bacon and pastries! We stopped by twice in the evening and had wine and canapés before heading to dinner. The only downside is the 3 block hike up the hill from the Circular Quay. You can avoid one block by entering on the lower level! Even with the walk I would stay there again!",5,2024-11-08T22:36:06Z
38,8,Shangri-La Sydney,256528.0,"Hotel has show ages, service has been slow, sometimes no housekeeping and sometimes room key can malfunction. But overall the hotel is in convenient location and has great view. I wouldn’t recommend if there is an alternative choice. The bar is very nice though.",4,2024-11-06T10:05:38Z
39,8,Shangri-La Sydney,256528.0,"A great hotel with superb views over Sydney Harbour. It is worth investing in the best room with a view you can afford. Each day you get another view of the harbour which is constantly changing. Breakfast at Mix Cafe is ok, lots of choice if a little odd way of ordering fried eggs. Staff are all pleasant and helpful except for one person at breakfast who was particularly unpleasant, so much so I had to report them to the manager. That said, it was the only unpleasantness we experienced.",4,2024-10-31T23:59:47Z
40,8,Shangri-La Sydney,256528.0,"Lovely hotel in a great location!  Took the train from Sydney Airport.  About a 10 minute walk from Circular Quay, 20 minutes from Sydney Opera House.  Paid extra for a room with a view, and it was an amazing view of both the Harbor Bridge and the Opera House!  (Would have missed fireworks over the Opera House had we not had views from our room!). Wonderful fluffy bathrobes, slippers, well equipped room, comfy bed, and excellent buffet breakfast.   Happened to arrive to check in during a big wedding, so lobby was packed.  But once things settled down we really enjoyed the hotel.  Highly recommend!",5,2024-10-30T04:20:53Z
41,9,W Montreal,497207.0,"I stayed here for the Montreal Jazz Festival. I had a great stay -- excellent location and a nice room. BUT when I left, they charged me for the room even though I had purchased the room using Bonvoy points -- so they used my points and charged my card so I paid twice for the same stay. WORSE STILL, their customer service does not respond to my attempts to resolve the issue so I'm having to file a claim through Marriott's Bonvoy program. So it's a nice hotel with a great location with CRAPPY customer service and FRAUDULENT billing. You have been warned!",1,2024-08-02T17:40:23Z
42,9,W Montreal,497207.0,"I stay at W Hotels all over the world for work, and this particular location has quickly become one of my favorites. On a whim, I chose Montreal for a fun and relaxing five-day getaway, a city I had not visited in 20 years. It was even better than I remembered.

The hotel rooms are spacious and immaculate, and the location is fantastic. The service is exceptional, from the doorman to the front desk staff and housekeeping. Everyone is friendly and helpful. As a lifetime platinum member with Marriott, I felt particularly well taken care of.

The beds are incredibly comfortable, and the rooms are quiet at night. I usually struggle to sleep well, but I slept soundly here.

I would like to acknowledge a couple of exceptional staff members:

	•	Mauricio from the W Insider team truly stood out. I sent him some optimistic requests via email just before our arrival, and he even called me back on a Saturday evening from his home. He assured me he would personally chase down each request and do his best to fulfill them. He connected us with Veronique, who helped make everything happen and kicked off our trip in true W style. The team care was exceptional. Thank you, Mauricio and Veronique, for being the perfect W Ambassadors.

	•	Daniel at the TBSP restaurant on-site provided fantastic service. We enjoyed breakfast there every day because it was truly exceptional. The crispy breakfast potatoes are, without a doubt, the best I have ever had anywhere in the world. Daniel took care of us each day, providing excellent service, engaging conversation, and great advice. By the second day, he even remembered our quirky orders. He truly made our breakfast experience enjoyable and started each day on a high note. Thank you, Daniel.

I am eager to return and I will recommend it to friends who are looking for a great getaway at a wonderful hotel in a fun and friendly city.",5,2024-07-24T21:07:06Z
43,9,W Montreal,497207.0,"Decided to celebrate husband’s 40th birthday in Montreal, best decision! ❤️ The hotel staff made our stay really special,  when we got to our room we were welcomed with a birthday present and a note, which made us feel special 🥹 They were very polite throughout the whole stay. For our son  they printed cartoon images so he could draw, which made breakfast time so much easier.
The food was something else, not the typical (not so good) hotel food, we had breakfast everyday there and would still do if we lived closed by 🤭 
The suite was clean, the surrounding area also.
The location is great, walk in distance to the cathedral, and it has a door downstairs for easy access to the train station.",5,2024-05-29T22:59:30Z
44,9,W Montreal,497207.0,"OMG DONT STAY HERE LEAVE IMMEDIATELY AND RUN AWAY!!! DONT BOOK AND DONT THINK THERE REVIEWS ARE FALSE! I had booked a e wow room that is worth $1000 night and there is no service. The employees are uneducated workers in hospitality it seems as this is the only hotel of over 300 plus hotels we have stayed in which are always 5 star on suites. Upon checking in no valet or bell service and had to bring out 6 luggage on stairs and the clueless lady working said hi checking in. We said no one here is can help us with luggage. She said I’m sorry he is in a phone right now. What???? On your phone during work!!!! Then we checked in was not nice gave us keys and even still did not offer any luggage assistance to room at all!!!!! So terrible !!! When we went in room which we stayed here before they gave us the wrong room!!! We reserved a specific room and they had initially told us we will make sure you get one of the 2 e wow suites but they gave us the worst one of all!!!! Not only that floors are scratchy and dirty mold on desk and water inside the desk!!! I have photos which I will publish nasty! Then we asked for a rollaway and some guy brought it up and said “I don’t know how to set it up can you do it “ and left the pillow on the dirty floor!!! Photos taken… what !!!!! What service is this !!!! This is worst then a 1 star motel if I had option to leave a zero I will happily do this! Also I had someone coming to stay next week here and told them to cancel since the service and rooms are terrible!!! Complained to a manager and they didn’t care at all with attitude. The worst manager was Francois !!! He needs to be fired or moved to a lower class of hotels! He never took care of us and was very rude , he has the worst customer service and was very unwelcoming. Even Vincent was not good at all- to be honest we never complain like this but this is the first time they had attitude issues back . Again do not stay here",1,2023-12-21T12:03:37Z
45,9,W Montreal,497207.0,"This was our first stay at a W, and it was quite an interesting experience. We had booked with a prepaid rate, but prices came down pretty drastically closer to our stay which was unfortunate. The club-like vibe is clearly targeted towards younger travelers, which is a matter of taste - it was extremely loud in the lobby in the evenings during our weekend stay. 

Our Fabulous room was very nice and spacious (though it was notably still going for a cheaper rate than we had paid). We were able to check-in early which was appreciated, but our room was setup for another guest who was apparently there for a conference - we only had amenities for one person instead of two. However, the bathtub took FOREVER to fill - after half an hour it was still not at a reasonable depth.

Breakfast for Platinum+ members included a main and a drink - these were generous portions and quite tasty. However, a huge issue is that service here was EXTREMELY slow - the restaurant wasn't at capacity so I think it was a staffing issue.

The concierge contacted us a few days ahead of our stay to ask if we had any special requests. I asked if there was a piano at the property -  while they did not have one, the concierges went out of their way to contact another hotel to arrange for me to practice on our second day in Montreal, which was very thoughtful. Although I would have appreciated if this was done before we arrived, I appreciated that they went above and beyond for our request.

Breakfast was incorrectly charged to our folio at check-out. While not quite as nice of a stay as at other luxury hotels, it was more fun at a good pricepoint.",4,2023-12-06T23:00:26Z
